id,name,description,longitude,latitude,image_url,article_url,source,source_url
Q129652137,মসজিদ আল মুস্তফা,বাংলাদেশের ঢাকা শহরের একটি দৃষ্টিনন্দন মসজিদ,90.4479626,23.7998504,http://commons.wikimedia.org/wiki/Special:FilePath/%E0%A6%87%E0%A6%AB%E0%A6%A4%E0%A6%BE%E0%A6%B0%2C%20%E0%A6%B0%E0%A6%AE%E0%A6%9C%E0%A6%BE%E0%A6%A8%20%E0%A7%A7%E0%A7%AA%E0%A7%AA%E0%A7%AC%2C%20%E0%A6%AC%E0%A6%BE%E0%A6%AF%E0%A6%BC%E0%A6%A4%E0%A7%81%E0%A6%B2%20%E0%A6%AE%E0%A7%8B%E0%A6%95%E0%A6%BE%E0%A6%B0%E0%A6%B0%E0%A6%AE%20%E0%A6%9C%E0%A6%BE%E0%A6%A4%E0%A7%80%E0%A6%AF%E0%A6%BC%20%E0%A6%AE%E0%A6%B8%E0%A6%9C%E0%A6%BF%E0%A6%A6%20%28DSCF3361%29.jpg,,Wikidata,http://www.wikidata.org/entity/Q129652137
Q13058226,দিনাজপুর জাদুঘর,বাংলাদেশের দিনাজপুরের একটি জাদুঘর,88.635555555,25.628416666,http://commons.wikimedia.org/wiki/Special:FilePath/Dinajpur%20Museum%20gate%20%282%29.jpg,,Wikidata,http://www.wikidata.org/entity/Q13058226
Q118115042,"এনাটমি জাদুঘর, সিভাসু",চট্টগ্রাম জেলার একটি জাদুঘর,91.808525,22.361916666,http://commons.wikimedia.org/wiki/Special:FilePath/Anatomy%20Museum%2C%20CVASU%20%28cropped%29.jpg,,Wikidata,http://www.wikidata.org/entity/Q118115042
Q19768200,স্বাধীনতা জাদুঘর,ঢাকার জাদুঘর,90.3985,23.73394,http://commons.wikimedia.org/wiki/Special:FilePath/Independence%20museum%20%28Copy%29.jpg,"https://en.wikipedia.org/wiki/Museum_of_Independence,_Dhaka",Wikidata,http://www.wikidata.org/entity/Q19768200
Q5313401,ডুলাহাজারা সাফারি পার্ক,বাংলাদেশের একটি সাফারি পার্ক,92.09,21.67,,https://en.wikipedia.org/wiki/Dulhazra_Safari_Park,Wikidata,http://www.wikidata.org/entity/Q5313401
Q16345864,গাজীপুর সাফারি পার্ক,বাংলাদেশের গাজীপুরে অবস্থিত সাফারি পার্ক,90.396517343,24.169949962,http://commons.wikimedia.org/wiki/Special:FilePath/Aerial%20view%20of%20Gazipur%20Safari%20Park.jpg,https://en.wikipedia.org/wiki/Gazipur_Safari_Park,Wikidata,http://www.wikidata.org/entity/Q16345864
Q25588095,শহীদ স্মৃতি সংগ্রহশালা,বাংলাদেশের প্রথম মুক্তিযুদ্ধভিত্তিক সংগ্রহশালা,88.640424,24.368812,http://commons.wikimedia.org/wiki/Special:FilePath/Smrity%2071%20-%20RU%20-%203.JPG,,Wikidata,http://www.wikidata.org/entity/Q25588095
Q82869059,সাত গম্বুজ মসজিদ সমাধি,ঢাকার একটি প্রত্নতাত্ত্বিক স্থাপনা,90.3589591,23.7576502,http://commons.wikimedia.org/wiki/Special:FilePath/Sat%20Gambuj%20Mosque%20Tomb.jpg,,Wikidata,http://www.wikidata.org/entity/Q82869059
Q76633918,মজিদবাড়িয়া শাহী মসজিদ,বাংলাদেশের পটুয়াখালী জেলার একটি প্রাচীন মসজিদ ও প্রত্নতাত্ত্বিক স্থাপনা,90.1808051,22.2701689,http://commons.wikimedia.org/wiki/Special:FilePath/%E0%A6%AE%E0%A6%9C%E0%A6%BF%E0%A6%A6%E0%A6%AC%E0%A6%BE%E0%A6%A1%E0%A6%BC%E0%A6%BF%E0%A6%AF%E0%A6%BC%E0%A6%BE%20%E0%A6%B6%E0%A6%BE%E0%A6%B9%E0%A7%80%20%E0%A6%AE%E0%A6%B8%E0%A6%9C%E0%A6%BF%E0%A6%A6%2C%20%E0%A6%B8%E0%A6%AE%E0%A7%8D%E0%A6%AE%E0%A7%81%E0%A6%96%20%E0%A6%A6%E0%A7%83%E0%A6%B6%E0%A7%8D%E0%A6%AF.jpg,https://en.wikipedia.org/wiki/Majidbaria_Shahi_Mosque,Wikidata,http://www.wikidata.org/entity/Q76633918
Q7499134,সীতাকোট বিহার,বাংলাদেশের দিনাজপুর জেলার নবাবগঞ্জ উপজেলায় অবস্থিত একটি বৌদ্ধ বিহার,89.05155,25.41426,http://commons.wikimedia.org/wiki/Special:FilePath/%E0%A6%B8%E0%A7%80%E0%A6%A4%E0%A6%BE%E0%A6%95%E0%A7%8B%E0%A6%9F%20%E0%A6%AC%E0%A6%BF%E0%A6%B9%E0%A6%BE%E0%A6%B0-1.jpg,https://en.wikipedia.org/wiki/Sitakot_Vihara,Wikidata,http://www.wikidata.org/entity/Q7499134
